name,longitude,latitude
ozan,4.91667,46.3833
cormoranche sur saone,4.83333,46.2333
plagne,5.73333,46.1833
tossiat,5.31667,46.1333
pouillat,5.43333,46.3333
torcieu,5.4,45.9167
replonges,4.88333,46.3
corcelles,5.58333,46.0333
peron,5.93333,46.2
relevant,4.95,46.0833
chaveyriat,5.06667,46.1833
vaux en bugey,5.35,45.9167
maillat,5.55,46.1333
faramans,5.11667,45.9
beon,5.75,45.8333
saint bernard,4.73723,45.945
rossillon,5.6,45.8333
pont d ain,5.33333,46.05
nantua,5.61667,46.15
chavannes sur reyssouze,5,46.4333
neuville les dames,5,46.1667
flaxieu,5.73333,45.8167
hotonnes,5.68333,46
saint sorlin en bugey,5.36667,45.8833
songieu,5.7,45.9667
virieu le petit,5.71667,45.9
saint denis en bugey,5.33333,45.95
charnoz sur ain,5.21667,45.8667
chazey sur ain,5.25,45.9
marchamp,5.55,45.7833
culoz,5.78333,45.85
mantenay montlin,5.08333,46.4167
marboz,5.25,46.3333
foissiat,5.18333,46.3667
treffort cuisiat,5.36834,46.2714
izieu,5.63333,45.65
saint etienne du bois,5.28333,46.2833
hauteville lompnes,5.6,45.9667
saint trivier sur moignans,4.9,46.0667
peyriat,5.51667,46.15
evosges,5.5,45.9583
poncin,5.4,46.0833
crans,5.21667,45.9667
montreal la cluse,5.57084,46.1867
cleyzieu,5.43333,45.9
lompnieu,5.65,45.9667
villereversure,5.38333,46.1833
saint martin du mont,5.33333,46.1
saint genis pouilly,6.01667,46.25
bolozon,5.48333,46.2
confrancon,5.06667,46.2667
lochieu,5.71667,45.9333
chanoz chatenay,5.03333,46.1833
villebois,5.43333,45.85
ceignes,5.5,46.1167
saint didier sur chalaronne,4.81667,46.1667
revonnas,5.33333,46.1667
bourg saint christophe,5.16667,45.8833
condeissiat,5.08333,46.1667
pirajoux,5.3,46.3833
chalamont,5.16667,46
le plantay,5.08333,46.0167
versailleux,5.1,45.9833
montagnat,5.28333,46.1667
vieu,5.68333,45.9
saint andre de corcy,4.95,45.9167
bressolles,5.1,45.8667
peronnas,5.2,46.1833
colomieu,5.61667,45.7333
monthieux,4.93333,45.95
saint jean sur reyssouze,5.06667,46.4
garnerans,4.83333,46.2
montrevel en bresse,5.13333,46.3333
conand,5.46667,45.8833
challes la montagne,5.46667,46.1333
mogneneins,4.81667,46.1333
thoissey,4.8,46.1667
chaleins,4.8,46.0333
neuville sur ain,5.36667,46.0833
thil,5.01667,45.8167
jujurieux,5.41667,46.0333
oncieu,5.46667,45.95
lurcy,4.76667,46.0667
balan,5.1,45.8333
ambutrix,5.33333,45.9333
sainte croix,5.05195,45.8942
blyes,5.25,45.85
conzieu,5.6,45.7333
nievroz,5.06667,45.8333
nurieux volognat,5.52667,46.1856
ambleon,5.6,45.75
saint maurice de gourdans,5.2,45.8167
chezery forens,5.88333,46.2167
sault brenaz,5.41667,45.85
murs et gelignieux,5.66667,45.6333
le petit abergement,5.65,46.0333
cormoz,5.23333,46.45
saint martin de bavel,5.68333,45.85
saint trivier de courtes,5.08333,46.4667
boyeux saint jerome,5.46667,46.0333
chateau gaillard,5.3,45.9667
premeyzel,5.65,45.6833
arandas,5.48333,45.9
chatenay,5.2,46.0333
innimond,5.56667,45.7833
boz,4.9,46.4
briord,5.46667,45.7833
reyrieux,4.81667,45.9333
matafelon granges,5.56667,46.2667
drom,5.36667,46.2167
chatillon en michaille,5.78333,46.1333
polliat,5.13333,46.25
vesancy,6.08333,46.35
massieux,4.83333,45.9167
saint cyr sur menthon,4.98333,46.2667
serrieres sur ain,5.45,46.15
nivollet montgriffon,5.43333,45.9833
izernore,5.55,46.2167
saint nizier le desert,5.15,46.05
guereins,4.78333,46.1
illiat,4.88333,46.1833
la trancliere,5.26667,46.1167
saint didier de formans,4.78333,45.95
merignat,5.43333,46.0667
saint eloi,5.15,45.9333
la chapelle du chatelard,5.03333,46.0667
saint jean de niost,5.21667,45.8333
savigneux,4.85,46
nattages,5.76667,45.7333
saint benoit,5.58333,45.7
douvres,5.36667,45.9833
francheleins,4.8,46.0667
dortan,5.66667,46.3167
saint germain les paroisses,5.61667,45.7667
miribel,4.95306,45.8245
lancrans,5.83333,46.1333
echenevex,6.03333,46.3167
saint jean sur veyle,4.91667,46.25
billiat,5.78333,46.0667
l abergement de varey,5.41667,46
villeneuve,4.83667,46.0212
villars les dombes,5.01667,46
thezillieu,5.6,45.8833
saint etienne sur reyssouze,5,46.4
souclin,5.41667,45.8667
saint just,5.28,46.1903
civrieux,4.88333,45.9167
argis,5.48333,45.9333
talissieu,5.71667,45.8667
birieux,5.03333,45.95
saint julien sur veyle,4.95,46.2
thoiry,5.97973,46.2364
laiz,4.88333,46.25
cressin rochefort,5.76667,45.7667
saint champ,5.73333,45.7833
saint georges sur renon,5.03333,46.1
lantenay,5.53333,46.05
vernoux,5.11667,46.4833
cormaranche en bugey,5.6,45.95
sainte euphemie,4.78333,45.9667
beaupont,5.26667,46.4
brens,5.69473,45.7187
ramasse,5.35,46.2
divonne les bains,6.13333,46.3667
leaz,5.88333,46.1
villes,5.78333,46.0833
saint julien sur reyssouze,5.11667,46.4
groslee,5.56667,45.7167
vandeins,5.08333,46.2167
verjon,5.35,46.35
saint andre sur vieux jonc,5.06667,46.15
saint andre d huiriat,4.91667,46.2167
grilly,6.11667,46.3333
cessy,6.06667,46.3167
ordonnaz,5.53333,45.8333
vescours,5.03333,46.4667
meillonnas,5.35,46.25
geovreisset,5.6,46.25
ceyzerieu,5.73333,45.8333
beard geovreissiat,5.56667,46.2
la burbanche,5.56667,45.85
perrex,4.98333,46.2333
villemotier,5.31667,46.35
jasseron,5.33333,46.2167
corveissiat,5.48333,46.2333
journans,5.33333,46.15
sermoyer,4.98333,46.5
charix,5.68333,46.1833
arbignieu,5.65,45.7333
leyssard,5.46667,46.1667
saint jean de thurigneux,4.88333,45.95
frans,4.78333,45.9833
tenay,5.5,45.9167
bage la ville,4.95,46.3167
montmerle sur saone,4.76667,46.0833
courmangoux,5.36667,46.3333
baneins,4.9,46.1167
lagnieu,5.35,45.9
attignat,5.16667,46.2833
saint andre de bage,4.91667,46.3
pont de vaux,4.93333,46.4333
amberieu en bugey,5.35,45.95
peyzieux sur saone,4.81667,46.1167
crozet,6.01251,46.2806
seyssel,5.83194,45.9597
beynost,5,45.8333
versonnex,6.09723,46.3023
saint laurent sur saone,4.83333,46.3
artemare,5.7,45.8667
montracol,5.11667,46.1833
parves,5.75,45.75
pugieu,5.65,45.8167
virieu le grand,5.65,45.85
saint remy,5.16667,46.1833
rance,4.86667,45.9667
grieges,4.85,46.25
grand corent,5.43333,46.2
outriaz,5.55,46.0667
montagnieu,5.46667,45.8
champagne en valromey,5.68333,45.9
amberieux en dombes,4.9,46
la boisse,5.03333,45.85
parcieux,4.81667,45.9167
saint didier d aussiat,5.06667,46.3
saint nizier le bouchoux,5.15,46.45
ars sur formans,4.81667,45.9833
anglefort,5.80833,45.9167
corlier,5.5,46.0333
ferney voltaire,6.11667,46.25
saint maurice de remens,5.28333,45.95
chatillon la palud,5.25,45.9667
saint sulpice,5.04167,46.3203
saint bois,5.63333,45.7
virignin,5.71667,45.7167
premillieu,5.56667,45.8667
genouilleux,4.78333,46.1167
reyssouze,4.91667,46.4333
collonges,5.9,46.1333
saint germain de joux,5.73333,46.1833
bregnier cordon,5.61667,45.65
saint martin le chatel,5.11667,46.2833
marignieu,5.71667,45.8
